Stock,SelectedFraction,WholeMAE,SelectedMAE,WholeCDC,SelectedCDC,WholeNaiveMae,SelectedNaiveMae,WholeMASE,SelectedMASE
BRFS3,0.9875381148084317,0.005123691271315145,0.004957640770126217,0.510274426620708,0.5219492549335482,0.00357415249919411,0.0035867814088069877,1.4335401951848505,1.3821976321035956
PETR4,0.4649042844120328,0.005553577408906602,0.005366785551974389,0.5314494074749316,0.5341736694677871,0.0033475581212550343,0.003442418207621827,1.6589935731495256,1.5590161416448
BBAS3,0.8407915157785825,0.004817916528404455,0.004539954194519447,0.5168132436627004,0.5219197046608214,0.0033539802026868767,0.003294414302978031,1.4364773305891363,1.3780762760820622
BBDC4,0.8229914169129028,0.004106466126140558,0.003980665672581723,0.5193471225552272,0.5135920670200034,0.0030935884510909146,0.0030277874213386277,1.327411900795164,1.3147110806153672
ITSA4,0.9736628849270664,0.0037922495186259054,0.0037420566175136753,0.5526742301458671,0.5529199611596616,0.002755182050986754,0.0027597513070017642,1.3764061497379931,1.3559397935675235
VALE3,0.9,0.004006128983278672,0.004056080084107769,0.5105978260869565,0.5129830917874396,0.003201858195605877,0.003179730237296824,1.2511887593199942,1.2756050926999247
ITUB4,0.5542709466811752,0.003661495766735314,0.0034776414979756686,0.5099292709466812,0.5136196319018405,0.0027516068324264136,0.0027261054065031553,1.3306754888039527,1.275681229962611
ABEV3,0.8794607454401269,0.003860539847914583,0.0037370805311981847,0.5216759185831351,0.5351668169522092,0.0029461852868190573,0.0029030224333148206,1.310352022049074,1.2873068042161127
RENT3,0.6498456583008992,0.005454088576075203,0.005527485613893522,0.5285196617903637,0.5361420900454358,0.004054745393775123,0.004034439286462429,1.3451124661115252,1.370075299544354
KROT3,0.8388881570280595,0.006558342167744235,0.0062689033072299855,0.5509155578975102,0.5445979899497487,0.004340391148565829,0.0043472751892964425,1.5110025671099416,1.4420304752422486
B3SA3,0.6902985074626866,0.00447941827780573,0.004602980220342806,0.5375898286346048,0.5199199199199199,0.00346633781560801,0.0034782613646272523,1.2922624729869328,1.323356624994765
CCRO3,0.5,0.0057664225696005015,0.005723621512524523,0.5331679289631758,0.5447897623400365,0.004245353453980277,0.003947560608879733,1.35829033603648,1.449913523721378
JBSS3,0.7590408295528192,0.005479988975351946,0.005459206183338262,0.5462086843810758,0.542691256830601,0.003728352094705885,0.0037259523870883347,1.4698153061062331,1.4651840968919059
GGBR4,0.5099382218640881,0.0051511626317369405,0.0049235033761915355,0.547945205479452,0.552541480115881,0.0036221448691046002,0.003627579959753444,1.4221304828733468,1.3572418611900623
ESTC3,0.8114316969779845,0.008269414159015867,0.007899070453853166,0.5246820730206482,0.529659588810246,0.004518195674657025,0.004485337983091521,1.830247017719877,1.7610870091909392
EMBR3,0.41590493601462525,0.004514111182887962,0.00383801228690125,0.5353878297205537,0.5315541601255886,0.003349102161612392,0.002978995323351607,1.3478571166412816,1.288357942966886
ELET3,0.08845897264843229,0.007298390031104459,0.006613161544171351,0.523949299533022,0.5052790346907994,0.005108607659174801,0.005052427436190368,1.4286456345883052,1.308907773083785
CMIG4,0.9485951055289396,0.0063881495098178235,0.0064194476025459515,0.5512106694289783,0.5537810537810538,0.00397934018613887,0.003942114728744381,1.6053288261379348,1.6284273909477607
ELET6,0.9011453504226888,0.007180701153833868,0.006396297918557762,0.5185437687482957,0.5135421395067332,0.004933561046376528,0.00490796695406299,1.4554803490488397,1.3032479595777797
CSNA3,0.6935358255451713,0.005517668212501735,0.005650786874825819,0.5555555555555556,0.5519371139809096,0.00433593723421217,0.004327988456503115,1.2725433774652604,1.3056381576838783
