Configuration,AverageMeanValue,AverageBestValue,AverageSNR,AverageRelativeSize
Normal Init ,10.662008820711524,11.279073915679422,1,0.25555555555555554
Group Init,10.670644873944466,11.27019718255603,1,0.26388888888888884
Normal Init Knn Ga,10.661396786274603,11.245008157892467,1,0.2694444444444444
Normal Init Knn Ga with Restarting,7.702746097108232,10.02656765360174,0.9172222222222223,0.30277777777777776
Normal Init with Restarting,7.686369202437026,9.836049242897968,0.898888888888889,0.29166666666666663
